序号,vid,uid,弹幕
764,429,372,13
765,690,575,辛苦了
766,157,155,2
767,343,378,被资本家洗脑洗出优越感出来了
768,22,601,两面宿傩笑死哈哈哈
769,603,317,你的认知是什么？
770,731,170,“你 小 心 点”
771,203,565,性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性性
772,398,758,用法：根据所选所选血管不同，从不同位置开刀
773,334,196,1234我都有
774,947,226,1
775,372,108,没意义的测试，没意义啊。 难道优盘不插电脑供电就能用吗？
776,695,126,仁中好短？！！
777,108,415,臭虫
778,403,468,张三
779,267,125,会变成移动电源/滑稽
780,93,267,sancheck
781,638,174,致敬
782,795,187,这才是我们该追的人
783,422,871,牛逼牛逼
784,204,412,物竞天择，适者生存
785,916,744,但是土猪香啊
786,846,572,石器时代
787,813,193,汉语是高语境语言
788,753,150,钢铁苍穹2
789,94,926,真·大吃一精
790,315,49,卧槽
791,396,661,确实
792,531,505,嘿嘿嘿
793,671,146,您就是理论大师？
794,193,609,我取一亿呢？
795,419,817,女少口阿
796,14,792,真实了
797,505,132,哈哈哈哈哈
798,976,723,致敬！
799,468,136,这没办法适者生存
800,827,537,Ｊ～Y～P～
801,979,831,我家花盆的花养死了以后就都改蔬菜了，好家伙疫情期间我家就没缺过西红柿和白菜、马食菜，邻居还种了蒜苗和大葱
802,732,468,琵琶鱼比你久
803,782,324,狸猫火锅
804,388,729,心空小公主！
805,882,967,三连推广给有需要的朋友，哈哈哈
806,513,600,突然教学
807,961,407,感动！！，
808,506,945,木守宫进化！森林蜥蜴
809,625,949,眼保健操是个好东西
810,196,401,就恩啊寂蠛一哦
811,738,244,2
812,615,73,听到罗老师的就shuan了哈哈哈
813,514,940,就是需要的时候先把情绪存档，没事的时候读档再放出来
814,656,137,借你吉言
815,552,633,这种事发生在了自己身上，谁会高兴
816,442,617,黑猪才是中国土猪
817,363,863,心跳加速自然就不塞了
818,844,32,那岂不是糊的一批
819,636,188,手机可以查单词
820,325,409,1
821,44,520,我帮我盆友看看
822,297,448,嘿吼吼
823,516,299,乡土中国
824,816,346,开学咯
825,191,448,为合工大天鹅打电话
826,435,926,我18
827,430,123,认同！
828,156,520,高压才有辐射
829,670,660,直接放上课铃？
830,621,5,二十四节气就是证明
831,295,232,电子科大
832,249,959,我还是堵的
833,741,468,太真实了
834,732,214,没错，然后就成了屏幕里得你
835,433,316,好~
836,550,97,好家伙，我以为油炸猪排
837,337,827,韩语好难发音啊
838,988,874,辛苦了
839,526,618,。
840,892,885,致敬
841,649,391,汪汪队立大功
842,17,343,我怎么想到了。。哈哈哈哈
843,623,11,当年我吃鸡的如此艰难
844,927,779,毕导nb
845,277,659,二十四节气是阳历的麻烦回小学上课。
846,495,459,全有
847,145,295,学到了
848,964,178,呀前面丁辉人的给我放下
849,274,938,嘿！排队！健康码！
850,467,859,致敬
851,659,804,我还以为幼发拉底河和底格里斯河
852,160,686,小目标，狗都不抽
853,159,305,失踪人口回归
854,40,766,已经饱了
855,19,453,爷青回
856,791,331,致敬
857,607,933,天狗
858,525,968,《见缝插针式解说》
859,545,719,啥家庭啊，吃得起这个
860,438,175,无中生有
